sample,desc,train_score,test_score,precision,recall,accuracy,f1_score,model,num_features,num_rows_train,num_rows_test,last_feature
over,"['year', 'color_id', 'quantity']",0.7807727841219763,0.6479892090635164,0.0911811652035115,0.8707131192161133,0.6479892090635164,0.1650755972960421,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",3,1591130,91929,quantity
over,"['year', 'color_id', 'quantity', 'is_trans']",0.7807727841219763,0.6479783311033515,0.0912018696383275,0.8709853021230267,0.6479783311033515,0.1651144191326333,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",4,1591130,91929,is_trans
under,"['year', 'color_id', 'quantity', 'is_trans']",0.78582436937787,0.6356318463161788,0.08884354491810512,0.8769733260751225,0.6356318463161788,0.1613420130195293,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",4,63588,91929,is_trans
over,"['year', 'color_id']",0.7646672490619874,0.6351858499494175,0.0899404058989921,0.8913990201415352,0.6351858499494175,0.1633946167086586,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",2,1591130,91929,color_id
over,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len']",0.5685142005995739,0.6341306878134212,0.0546173514895641,0.5,0.6341306878134212,0.0984775383295807,LogisticRegression(),6,1591130,91929,color_name_len
under,"['year', 'color_id', 'quantity']",0.78582436937787,0.6338696167694634,0.08853880777253266,0.8780620577027762,0.6338696167694634,0.16085764148591375,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",3,63588,91929,quantity
balanced,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len']",0.6308797027650633,0.6314220757323586,0.053926345943711,0.497005988023952,0.6314220757323586,0.0972958571999467,"LogisticRegression(C=1e-05, class_weight='balanced', random_state=1)",6,827359,91929,color_name_len
under,"['year', 'color_id']",0.7673145876580487,0.6270926475867246,0.08862664982124137,0.8973870440936309,0.6270926475867246,0.16132110091743118,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",2,63588,91929,color_id
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len']",0.5637069887400138,0.6251346147570408,0.05291742906102059,0.4959172563962983,0.6251346147570408,0.09563049468573677,LogisticRegression(),6,63588,91929,color_name_len
over,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.5703292628509299,0.5863764426894669,0.0536178396922757,0.5615133369624388,0.5863764426894669,0.097888493475682,LogisticRegression(),7,1591130,91929,part_name_len
balanced,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.5821136894624945,0.5835590510067552,0.0524968320877188,0.552531301034295,0.5835590510067552,0.0958836171267978,"LogisticRegression(C=1e-05, class_weight='balanced', random_state=1)",7,827359,91929,part_name_len
under,"['year', 'color_id', 'quantity', 'is_trans', 'part_num_len', 'color_name_len', 'part_name_len']",0.5640529659684217,0.5778698778405074,0.05170477746018783,0.5514425694066413,0.5778698778405074,0.09454477577115124,LogisticRegression(),7,63588,91929,part_name_len
over,['year'],0.7312897123428004,0.534347159220703,0.0753705592569283,0.9452912357103974,0.534347159220703,0.1396096717785862,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",1,1591130,91929,year
under,['year'],0.7340221425426181,0.534347159220703,0.07537055925692832,0.9452912357103974,0.534347159220703,0.1396096717785862,"RandomForestClassifier(n_estimators=200, n_jobs=-1, random_state=1)",1,63588,91929,year
under,['year'],0.5,0.03996562564587888,0.03996562564587888,1.0,0.03996562564587888,0.0768595127767957,LogisticRegression(),1,63588,91929,year
over,['year'],0.5,0.0399656256458788,0.0399656256458788,1.0,0.0399656256458788,0.0768595127767957,LogisticRegression(),1,1591130,91929,year
balanced,['year'],0.0384283001695757,0.0399656256458788,0.0399656256458788,1.0,0.0399656256458788,0.0768595127767957,"LogisticRegression(C=1e-05, class_weight='balanced', random_state=1)",1,827359,91929,year
